City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,tuatapere,-46.1333,167.6833,14.52,92,97,7.5,NZ,1675620636
138,vigrestad,58.5667,5.7,6.09,89,100,7.41,NO,1675620685
139,meulaboh,4.1363,96.1285,23.49,89,97,1.69,ID,1675620467
140,la romana,18.4273,-68.9728,31.2,48,40,5.14,DO,1675620686
141,sao joao da barra,-21.6403,-41.0511,33.05,77,12,4.82,BR,1675620523
142,rio grande,-32.035,-52.0986,27.06,72,56,6.65,BR,1675620687
143,touros,-5.1989,-35.4608,29.33,65,84,5.85,BR,1675620143
144,norman wells,65.282,-126.8329,-32.98,68,75,1.03,CA,1675620688
145,tual,-5.6667,132.75,26.46,84,100,8.67,ID,1675620654
146,sao paulo de olivenca,-3.3783,-68.8725,24.0,90,99,1.56,BR,1675620690
147,esperance,-33.8667,121.9,20.33,67,32,8.95,AU,1675620691
148,lebu,-37.6167,-73.65,19.04,75,26,8.63,CL,1675620692
149,coihaique,-45.5752,-72.0662,21.97,35,20,3.6,CL,1675619901
150,novoagansk,61.9449,76.6625,-18.4,99,99,1.3,RU,1675620693
151,vuktyl,63.8567,57.3094,-17.05,98,94,1.4,RU,1675620694
152,inuvik,68.3499,-133.7218,-41.81,100,54,0.4,CA,1675620642
153,cidreira,-30.1811,-50.2056,28.0,50,12,6.55,BR,1675620696
154,anadyr,64.75,177.4833,-33.72,68,0,4.0,RU,1675620696
155,thinadhoo,0.5333,72.9333,27.07,69,74,4.15,MV,1675620697
156,shingu,33.7333,135.9833,3.72,54,16,2.45,JP,1675620697
157,hami,42.8,93.45,-1.29,39,10,0.52,CN,1675620698
158,kembe,4.6228,21.8865,27.52,17,14,0.85,CF,1675620699
159,port blair,11.6667,92.75,26.24,80,25,2.77,IN,1675620699
160,codrington,-38.2667,141.9667,13.51,85,45,2.8,AU,1675620700
161,quthing,-30.4,27.7003,21.39,49,55,2.62,LS,1675620701
162,komsomolskiy,40.4272,71.7189,4.4,93,100,1.03,UZ,1675620601
